"","DOHREGION","EBLADDER","EBONE","EBRAIN","EBREAST","ECOLORECTA","EESOPHAGUS","EKIDNEY","ELARYNX","ELEUKEMIA","ELIVER","ELUNG","EMESOTHELI","ENASAL","ENHL","EORAL","EOTHER","EOVARY","EPANCREAS","EPROSTATE","ESTOMACH","ETESTIS","ETHYROID","ETISSUE","ETOTAL","EUTERUS","HBLADDER","HBONE","HBRAIN","HBREAST","HCOLORECTA","HESOPHAGUS","HKIDNEY","HLARYNX","HLEUKEMIA","HLIVER","HLUNG","HMESOTHELI","HNASAL","HNHL","HORAL","HOVARY","HPANCREAS","HPROSTATE","HSTOMACH","HTESTIS","HTHYROID","HUTERUS","LATITUDE","LONGITUDE","OBLADDER","OBONE","OBRAIN","OBREAST","OCOLORECTA","OESOPHAGUS","OKIDNEY","OLARYNX","OLEUKEMIA","OLIVER","OLUNG","OMESOTHELI","ONASAL","ONHL","OORAL","OOTHER","OOVARY","OPANCREAS","OPROSTATE","OSTOMACH","OTESTIS","OTHYROID","OTOTAL","OUTERUS","TISSUE","TISSUE0","YEAR","AI_TOT","A_TOT","B_TOT","F_TOT","HH_SIZE","HU_OCC","HU_VAC","H_TOT","MU_TOT","M_TOT","NH_TOT","O_TOT","PI_TOT","POP_TOT","POVOVER","POVUNDER","TOT_HSPLUS","TOT_LT_HS","W_TOT","inc_breast","log_offset","obs_inc","pred_cases_breast"
"1","360610002011",1.017,0.0504409,0.308339,2.63193,1.92983,0.237047,0.724577,0.190949,0.584724,0.386098,2.6095,0.0390437,0.030331,0.942412,0.503067,2.95335,0.26827,0.520421,3.74935,0.377185,0.186228,0.717564,0.155257,21.7211,0.608157,-1,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,1,0,0,-1,1,0,1,0,40.713682,-73.986111,3,0,1,5,4,1,3,0,0,2,4,0,0,0,1,6,0,1,2,4,0,4,42,1,0,0,2009,3,721,37,436,3.491039427,279,40,108,19,552,880,43,1,988,523,206,285,278,164,1146.7889908,0.9677174174,1.8997465738,1.82637232985264
"2","360610002012",3.0821,0.116039,0.780411,9.86372,6.38483,0.644762,1.93089,0.468316,1.71531,0.947923,8.86099,0.119143,0.0814488,2.72611,1.21039,8.86072,1.04689,1.82097,8.19281,1.14454,0.234096,1.67906,0.388322,64.751,2.45118,-1,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,1,0,0,-1,1,0,0,0,40.711187,-73.985736,2,0,1,4,2,0,1,2,0,2,5,0,0,1,1,2,1,1,3,4,0,1,35,2,0,0,2009,13,545,396,1174,2.8125,736,5,1156,92,896,914,410,1,2070,1214,1006,718,629,613,340.71550256,2.2888633794,0.4055265154,8.39060423304088
"3","360610002021",1.22978,0.0345609,0.271932,3.42512,2.43987,0.256186,0.739635,0.184983,0.631175,0.364327,3.43698,0.0473961,0.029397,1.01038,0.453083,3.28734,0.365321,0.700788,3.50358,0.444479,0.0667714,0.557683,0.136086,24.4667,0.849848,-1,0,0,0,0,0,0,0,-1,1,0,-1,0,0,1,0,0,-1,1,0,0,0,40.713888,-73.982317,0,0,1,4,2,0,0,0,1,0,3,0,1,0,1,2,2,0,2,0,0,2,22,0,1,0,2009,1,203,91,349,2.132616487,279,11,236,21,262,375,94,0,611,320,262,177,173,201,1146.1318052,1.2311365076,1.1678422946,3.57306561481912
"4","360610002022",3.19884,0.0950028,0.743224,9.21135,6.46583,0.694798,2.04053,0.521525,1.68307,1.05062,8.86832,0.12306,0.0839119,2.76938,1.33256,8.84181,0.970938,1.84428,9.45815,1.18389,0.234473,1.5916,0.38094,65.7188,2.33069,-1,0,0,0,0,0,0,0,-1,1,0,-1,0,0,1,0,0,0,1,0,0,0,40.711348,-73.982807,3,0,1,10,7,2,1,1,1,5,13,1,1,3,1,6,1,2,10,2,0,0,75,3,1,0,2009,2,480,309,892,2.022427441,758,10,576,79,813,1129,192,0,1705,1442,285,1130,259,643,1121.0762332,2.2204364193,1.0856172005,9.93230360994612
"5","360610002023",2.97957,0.0936557,0.704315,9.17252,6.22878,0.62454,1.8353,0.450664,1.62855,0.913879,8.44729,0.114785,0.0767939,2.59048,1.15856,8.46622,0.980558,1.78668,7.97832,1.11321,0.190357,1.49449,0.357376,61.6426,2.25569,-1,0,0,0,0,0,0,0,-1,1,0,-1,0,0,1,0,0,-1,1,0,0,0,40.712357,-73.982967,3,0,0,5,3,0,0,0,1,1,5,0,0,1,0,0,0,0,3,0,0,0,22,0,0,0,2009,16,419,327,968,2.116915423,804,11,946,79,734,756,312,1,1702,1656,573,1122,540,548,516.52892562,2.2162120577,0.5451064702,9.61391476056589
"6","360610002024",2.06577,0.071187,0.505865,6.35418,4.15826,0.436837,1.28782,0.323965,1.12321,0.641996,5.69823,0.0811196,0.054266,1.78489,0.823874,5.80956,0.670832,1.18334,5.89252,0.758172,0.141981,1.14492,0.256208,42.842,1.57305,-1,0,0,0,0,0,0,0,-1,1,-1,-1,0,0,1,0,0,0,1,0,0,0,40.712491,-73.981469,1,0,2,1,5,1,2,0,1,0,2,0,1,3,2,5,0,0,5,1,0,1,35,1,1,0,2009,10,319,229,757,2.243611584,587,7,748,63,560,569,284,0,1317,1121,415,414,779,412,132.1003963,1.8491128641,0.1573767189,6.41147796375245
"7","360610002025",3.47606,0.107987,0.814901,10.2209,7.31192,0.725262,2.09648,0.514954,1.92151,1.04634,9.35753,0.132624,0.0912315,2.99119,1.35384,9.98222,1.09927,2.10503,9.23681,1.31715,0.224642,1.72512,0.419884,70.7009,2.42806,-1,0,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0,0,1,0,0,0,40.712003,-73.97851,2,0,0,12,10,2,2,0,2,1,7,0,0,1,1,10,0,3,7,3,0,3,71,5,0,0,2009,12,227,162,1095,2.098516949,944,79,459,99,886,1522,120,0,1981,2468,188,1522,357,1361,1095.890411,2.3244346435,1.1740649062,10.7720585772219
"8","360610006001",2.85554,0.115457,0.782222,8.1001,5.56427,0.631824,1.89997,0.48731,1.58621,0.964403,7.58231,0.111815,0.0791985,2.55889,1.25308,8.21863,0.844386,1.54177,9.36895,1.05748,0.358125,1.88894,0.394683,60.1589,1.91338,-1,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,1,0,0,-1,1,0,1,0,40.713509,-73.991266,0,0,2,5,14,1,1,0,1,10,11,0,0,2,4,8,0,1,4,9,0,5,80,2,0,0,2009,0,1973,17,1183,3.08412483,737,30,47,37,1100,2236,11,0,2283,979,1213,825,555,245,422.65426881,2.0918764073,0.6172763299,6.3509782775569
"9","360610006002",5.24673,0.149046,1.1073,13.5839,10.3896,1.04725,2.92733,0.723713,2.70369,1.45001,13.9038,0.204846,0.124345,4.20425,1.81999,13.9111,1.46407,2.99838,13.2441,1.87884,0.279951,2.13585,0.569281,99.3206,3.25317,-1,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,1,0,0,-1,1,0,1,0,40.710724,-73.990848,2,0,1,11,13,0,5,0,2,6,7,0,0,7,2,9,3,2,4,2,0,5,85,2,2,0,2009,15,1304,373,1415,2.50591716,1014,21,787,92,1126,1754,372,1,2541,1893,748,1050,1056,384,777.38515901,2.6088852679,0.8097821686,12.6688002315105
"10","360610006003",1.75307,0.0615584,0.427915,4.26589,3.35204,0.368119,1.06644,0.272857,0.929386,0.552118,4.42242,0.0687898,0.0448887,1.46806,0.703913,4.78546,0.453573,0.935089,5.21084,0.631198,0.189788,0.947804,0.219293,34.1112,0.980684,-1,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,1,0,0,-1,1,0,1,0,40.713893,-73.988641,0,0,1,3,2,1,1,1,0,1,6,0,0,3,2,5,0,0,2,3,0,1,34,1,1,0,2009,1,915,8,594,3.164864865,370,20,61,36,577,1110,22,0,1171,584,489,480,385,189,505.05050505,1.4506508344,0.703253014,3.26465007138984
